1	Should teachers get tenure?
2	Is vaping with e-cigarettes safe?
3	Should insider trading be allowed?
4	Should corporal punishment be used in schools?
5	Should social security be privatized?
6	Is a college education worth it?
7	Should felons who have completed their sentence be allowed to vote?
8	Should abortion be legal?
9	Should students have to wear school uniforms?
10	Should any vaccines be required for children?
11	Should performance-enhancing drugs be accepted in sports?
12	Should birth control pills be available over the counter?
13	Can alternative energy effectively replace fossil fuels?
14	Is sexual orientation determined at birth?
15	Should animals be used for scientific or commercial testing?
16	Should prescription drugs be advertised directly to consumers?
17	Should recreational marijuana be legal?
18	Should churches remain tax-exempt?
19	Should gay marriage be legal?
20	Is drinking milk healthy for humans?
21	Is human activity primarily responsible for global climate change?
22	Is a two-state solution an acceptable solution to the Israeli-Palestinian conflict?
23	Should euthanasia or physician-assisted suicide be legal?
24	Does lowering the federal corporate income tax rate create jobs?
26	Do standardized tests improve education?
27	Should more gun control laws be enacted?
28	Should prostitution be legal?
29	Should the government allow illegal immigrants to become citizens?
30	Should adults have the right to carry a concealed handgun?
31	Is obesity a disease?
32	Do electronic voting machines improve the voting process?
33	Should people become vegetarian?
34	Are social networking sites good for our society?
35	Do violent video games contribute to youth violence?
36	Is golf a sport?
37	Is cell phone radiation safe?
38	Should marijuana be a medical option?
39	Should the federal minimum wage be increased?
40	Should the death penalty be allowed?
41	Should student loan debt be easier to discharge in bankruptcy?
42	Should fighting be allowed in hockey?
43	Should bottled water be banned?
44	Should election day be a national holiday?
45	Should the penny stay in circulation?
46	Should net neutrality be restored?
47	Is homework beneficial?
48	Should the voting age be lowered?
49	Should body cameras be mandatory for police?
50	Should everyone get a universal basic income?
