query_id,recall
test-science-wsihwclscaaw-con01a,3595.0
test-economy-eptpghdtre-pro02a,3584.0
test-culture-mthbah-pro02a,3626.0
test-international-amehbuaisji-con04a,3618.0
test-health-hgwhwbjfs-pro03a,3628.0
test-health-dhghwapgd-con01a,3631.0
test-education-pstrgsehwt-pro03a,3626.0
test-economy-epiasghbf-con01a,3622.0
test-sport-otshwbe2uuyt-con03a,3632.0
test-politics-gvhbhlsbr-con04a,3628.0
test-economy-egecegphw-pro02a,3625.0
test-politics-ypppgvhwmv-pro03a,3628.0
test-law-phwmfri-con03a,3623.0
test-culture-tlhrilsfhwr-pro01a,3635.0
test-culture-thbcsbptwhht-pro04a,3624.0
test-economy-egppphbcb-pro03a,3629.0
test-health-ahiahbgbsp-pro02a,3622.0
test-health-dhiacihwph-pro01a,3619.0
test-politics-cpegiepgh-con01a,3620.0
test-religion-grcrgshwbr-pro03a,3628.0
test-culture-mthbah-pro05a,3547.0
test-politics-oapdhwinkp-con01a,3625.0
test-free-speech-debate-ldhwprhs-pro02a,3630.0
test-society-epiasghbf-con04a,3609.0
test-law-lgplhbssbco-pro02a,3473.0
test-health-dhghhbampt-con01a,3617.0
test-law-umtlilhotac-con02a,3623.0
test-politics-ypppgvhwmv-con03a,3619.0
test-international-appghblsba-con03a,3632.0
test-culture-ascidfakhba-pro04a,3631.0
test-education-usuprmhbu-con02a,3620.0
test-law-phwmfri-pro01a,3590.0
test-international-gmehwasr-pro05a,3627.0
test-education-ughbuesbf-con03a,3632.0
test-free-speech-debate-yfsdfkhbwu-pro02a,3632.0
test-international-gmehwasr-con03a,3612.0
test-economy-egppphbcb-pro01a,3627.0
test-international-siacphbnt-pro04a,3624.0
test-economy-epegiahsc-pro02a,3619.0
test-international-ipecfiepg-con02a,3594.0
test-international-gpdwhwcusa-pro03a,3613.0
test-religion-msgfhwbamec-con02a,3626.0
test-international-aghbfcpspr-pro03a,3629.0
test-digital-freedoms-dfiphbgs-pro01a,3629.0
test-philosophy-elhbrd-pro03a,3630.0
test-politics-glghssi-pro03a,3599.0
test-education-egscphsrdt-con01a,3630.0
test-international-siacphbnt-pro01a,3629.0
test-economy-beplcpdffe-con04a,3614.0
test-politics-lghwdecm-con02a,3629.0
